scenario,classifier,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max,ngram,vectorizer
BestUserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos, word_count",0.8117788809507431,0.0005967853091700305,0.7860981726979577,0.8498745969186672,0.5961401568935336,0.002781211852139431,0.5578034682080925,0.6853448275862069,0.7132804364213103,0.007533603431923554,0.5701624815361891,0.799410029498525,0.6468291123328817,0.0025130107925928225,0.5639152666179693,0.6948288419519301,0.8661264502364207,0.0007259473469107333,0.8277834762691992,0.8939160607555455,N/A,N/A
BestUserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos",0.8071938147483879,0.0007294292004849908,0.7832318165532067,0.8520243640272304,0.5811799555764221,0.0026365203451307485,0.5371134020618556,0.6687979539641944,0.7596388718230263,0.005842158452261605,0.6336779911373708,0.8421828908554573,0.656435421862473,0.00209607471745013,0.5945945945945946,0.7169294037011651,0.8676596906652853,0.0008352958751537352,0.8279571094580828,0.8992480320407386,N/A,N/A
BestUserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8074793980652096,0.00010345538901595624,0.7921891795055536,0.8169115012540308,0.685235992363652,0.0032421814633799904,0.626984126984127,0.7804054054054054,0.39530420081654705,0.00729936520537529,0.27326440177252587,0.46755162241887904,0.49456249091718735,0.004278618536018196,0.38947368421052636,0.5522648083623694,0.8699907653068484,0.000317200958031733,0.8505018243712523,0.8989391955438106,N/A,N/A
BestUserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, word_count",0.8071928907797166,9.807591166476303e-05,0.7914725904693658,0.816194912217843,0.6840736699494746,0.0030897787502923205,0.6322067594433399,0.7789115646258503,0.3944188093401829,0.007474499323568064,0.2717872968980798,0.46971935007385524,0.4934936924448959,0.004407409394731388,0.3873684210526316,0.5492589363557105,0.8701145629065739,0.0003166476393226928,0.8505325682759237,0.8989888050263489,N/A,N/A
BestUserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo, punctuation_count, word_count",0.8070495729724791,9.437467591804673e-05,0.7929057685417413,0.8165532067359369,0.6830547185176816,0.003456939548484232,0.6240157480314961,0.7815699658703071,0.3967804342426896,0.007188978287784791,0.2791728212703102,0.47050147492625366,0.49503128308120414,0.004000565941051931,0.39539748953974896,0.5528596187175043,0.8706793899190769,0.000316296653386209,0.8506799992733259,0.8991233096092869,N/A,N/A
BestUserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.8158620781698028,0.0003312959896922889,0.79648871372268,0.8359598853868195,0.6697534622057255,0.004004858869111819,0.6028708133971292,0.7694235588972431,0.48801453575770254,0.008659022123942909,0.35745937961595275,0.5943952802359882,0.5591156944162677,0.00416807030172237,0.46007604562737636,0.6376582278481013,0.8715886005014719,0.00030136286677663176,0.8506443642929112,0.8966044056015394,N/A,N/A
BestUserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, word_count",0.8170803565287112,0.0003037565597869492,0.7961304192045862,0.8355428161949122,0.6728837624019556,0.003708105131276363,0.6172248803827751,0.7725,0.48978836877949306,0.009082482385977135,0.35450516986706054,0.5899705014749262,0.5613655681816838,0.0043732686303997945,0.45757864632983786,0.63441712926249,0.8722634380718969,0.00026566141270404476,0.8542917093471252,0.8965635301828284,N/A,N/A
BestUserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, word_count",0.8160056526350047,0.00029149546093969333,0.7943389466141169,0.8341096381225367,0.6747649565090794,0.0038637848979564808,0.6182108626198083,0.7772020725388601,0.47827435806939345,0.009905706180024563,0.3353028064992615,0.5737463126843658,0.5534663601960332,0.004874340604154137,0.44163424124513617,0.6248995983935743,0.87314278598832,0.0002633822453323181,0.8545823789912924,0.8968629338908227,N/A,N/A
BestUserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8218101521571075,0.00024149607460951307,0.8072375492654963,0.8477248298101039,0.6424209539009974,0.001961871556198999,0.5953360768175583,0.7114093959731543,0.6117301298893696,0.006000712086338124,0.4977843426883309,0.7079646017699115,0.6234307689791214,0.0016947773962239412,0.5659109991603695,0.6661429693637078,0.8760630107992273,0.0004035751899524348,0.8606221588090371,0.9086057080251374,N/A,N/A
BestUserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos, rating, punctuation_count, capital_count, word_count",0.8222400542472273,0.0002562400814706332,0.8072375492654963,0.8487997133643855,0.6432856617097897,0.0020630459264611447,0.5948158253751705,0.7142857142857143,0.6132067990396639,0.006229786019690105,0.49926144756277696,0.7123893805309734,0.6245254403835119,0.001768581648628966,0.5671140939597314,0.6682389937106918,0.8761145225041858,0.0004007552895194945,0.8615462227619487,0.9087660654370037,N/A,N/A
BestUserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, capital_count, word_count",0.8224551336212693,0.0002721788583228111,0.8054460766750269,0.8498745969186672,0.6447710687293645,0.002336763176745196,0.5925414364640884,0.7171717171717171,0.6120264223125624,0.005485111956018255,0.5066469719350074,0.7079646017699115,0.6246880794884677,0.0015362921982033093,0.5750209555741828,0.6703383162863886,0.8758227085173077,0.0004070835124597811,0.8595653370859531,0.9083817666286095,N/A,N/A
BestUserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.8224549026291015,0.00023743153615374236,0.8097456108921534,0.8484414188462917,0.6420315345235896,0.001768147079759947,0.6005509641873278,0.7102649006622517,0.6170424787475545,0.005933513227085208,0.4963072378138848,0.7064896755162242,0.6262789728496985,0.001793601238255092,0.5618729096989967,0.6697892271662764,0.8768333900619796,0.0004386607937422692,0.861181138893974,0.9114313523544939,N/A,N/A
BestUserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos, word_count",0.8220246668836282,0.0002997702387172211,0.8029380150483698,0.8491580078824794,0.6391969821905342,0.0019039319078186599,0.588317107093185,0.7071197411003236,0.6214672575086164,0.00555109357785815,0.5036927621861153,0.7094395280235988,0.627596513142129,0.0019305350409361149,0.5655058043117746,0.6749034749034749,0.8766231679989376,0.0004274843629849001,0.8601742760159813,0.909501473611249,N/A,N/A
BestUserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos",0.8267545138436173,0.0003654914952455513,0.8086707273378717,0.858831959871014,0.6416363798140212,0.0026175855859164377,0.5952063914780293,0.7187017001545595,0.663688492089428,0.005086405655443724,0.5568685376661743,0.7551622418879056,0.649560509814039,0.0014890223557673346,0.6075745366639808,0.702416918429003,0.8728881580897584,0.0013712270438367433,0.8181103258993639,0.9189395029828575,N/A,N/A
BestUserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8405101487692225,0.00044888162164614617,0.8172697957721247,0.8742386241490505,0.6786972340437225,0.0026013734144113856,0.6407766990291263,0.7680921052631579,0.6571901020901688,0.008492045565130758,0.5022156573116692,0.7477876106194691,0.6645535965951016,0.0034192349988569726,0.5714285714285714,0.7268482490272372,0.9075745097265442,0.00041706423182744686,0.8838509256011481,0.9399823082803118,N/A,N/A
BestUserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, word_count",0.8417282731333524,0.0004858167326652785,0.816194912217843,0.8767466857757076,0.6821380303624055,0.0025878110247336294,0.6481223922114048,0.7707317073170732,0.6574842158926028,0.0106223660953059,0.48301329394387,0.7536873156342183,0.6656084820251891,0.004186664498686788,0.5604113110539846,0.7337461300309599,0.9081505562237278,0.000437425575656284,0.8838131944454148,0.9414821217207083,N/A,N/A
BestUserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo, punctuation_count, word_count",0.8403673442779134,0.00047231485085838797,0.8197778573987818,0.8771049802938015,0.6770385163737606,0.002832739497770795,0.6430555555555556,0.7702265372168284,0.6622118229391336,0.008410699392754732,0.5110782865583456,0.7551622418879056,0.6662095111136803,0.003303482936626164,0.5790794979079498,0.7351351351351352,0.9076328631663623,0.0004782935341165017,0.8827577701725432,0.9421169134796651,N/A,N/A
BestUserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo, word_count",0.8414419198426378,0.00034599523636345375,0.8215693299892511,0.8720888570404873,0.6778139525584091,0.002045851609075692,0.6429479034307497,0.7564102564102564,0.6672278793741258,0.007394672669470569,0.5199409158050221,0.7463126843657817,0.6694967309743556,0.002667703065603409,0.5856905158069883,0.7255956956187548,0.9079615137759467,0.00046211449109277356,0.8808348786803598,0.9408082013558061,N/A,N/A
BestUserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, user_has_photo",0.8435200023817859,0.0005560227775966685,0.8190612683625941,0.8828376925833035,0.6780982180570259,0.002371433688052895,0.6476552598225602,0.7643504531722054,0.6790486398870603,0.008725391350099577,0.5243722304283605,0.7536873156342183,0.6760166858071879,0.0038220408956750208,0.5843621399176955,0.7557879014189695,0.9066720974920959,0.0006195800670819124,0.8754075314181743,0.9444810498763955,N/A,N/A
BestUserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos",0.8420151910715881,0.0005460602206518724,0.8165532067359369,0.8803296309566464,0.6763195247837337,0.003347440278598724,0.6436781609195402,0.7788617886178861,0.6766804791222772,0.007037490044434408,0.5302806499261448,0.7433628318584071,0.6738862640211932,0.003244298135481795,0.583739837398374,0.7414860681114551,0.90583920716903,0.0006284690657789066,0.8745072241188727,0.9440817284782186,N/A,N/A
Review,Random Forest,"c, o, n, t, e, n, t",0.7559641151100703,0.00011246121807214211,0.7434611250447868,0.7671085632389825,0.4968434951189697,0.006525894124107968,0.4057971014492754,0.5906040268456376,0.13875592040191195,0.00024374301742770003,0.1240768094534712,0.15781710914454278,0.21630516055075794,0.0005572771328023281,0.19004524886877827,0.2471131639722864,0.6976460593216955,0.0009896806263615544,0.662377775510803,0.7328311328047599,"(1, 1)",TF-IDF
Review,SVC,"c, o, n, t, e, n, t",0.708746826424272,0.0009551154451111657,0.6675026872088857,0.7413113579362236,0.3246273396781363,0.006504400736923905,0.24925816023738873,0.423728813559322,0.16622876389415392,0.0009767869234646753,0.1240768094534712,0.206794682422452,0.2168749350496321,0.0011667036621016956,0.16568047337278108,0.257201646090535,0.5925434815499945,0.003127804608102881,0.5479772606901447,0.670732780967846,"(1, 1)",TF-IDF
Review,Logistic Regression,"c, o, n, t, e, n, t",0.6383879210602232,0.00195022424029958,0.5764958796130419,0.6839842350412039,0.2768123071362302,0.0023378986414062837,0.23888314374353672,0.33858267716535434,0.29200446181531403,0.0016351596521839654,0.2363367799113737,0.3412112259970458,0.2822539334722077,0.0012634421972259606,0.2389843166542196,0.3277439024390244,0.5509300375372852,0.0023291123336921216,0.5105316990536471,0.6219519864056043,"(1, 1)",TF-IDF
Review,KNN,"c, o, n, t, e, n, t",0.6455503722053797,0.0015898865221006411,0.593335721963454,0.6912607449856734,0.26818724697796703,0.002108702898139387,0.21153846153846154,0.32170542635658916,0.25539317568833525,0.0010862803135020579,0.21122599704579026,0.2998522895125554,0.25970752160257493,0.0008556219119414092,0.2113821138211382,0.28682774746687456,0.519537197282346,0.0010726974129025267,0.48069387595393437,0.5586645987000556,"(1, 1)",TF-IDF
Review,XGBoost,"c, o, n, t, e, n, t",0.7292365246869028,0.0010841704412588291,0.6743102830526693,0.7603868194842407,0.2953140864801269,0.027232424059438383,0.11589403973509933,0.5529411764705883,0.05254702552907805,0.00017078631724178417,0.033973412112259974,0.06932153392330384,0.08695575413510247,0.0006331160200741849,0.05974025974025975,0.12319790301441678,0.6733188753299255,0.0020828024478794587,0.6162930117707232,0.7319459913441932,"(1, 1)",TF-IDF
