,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Precision,Recall,F1_Score,Accuracy,AUROC,Features,Classifier,Dataset,Technique,N-Grama,Scenario
67,0.7457627118644068,0.5403899721448467,0.21052631578947367,0.9282296650717703,0.32835820895522383,0.6830985915492958,0.5403899721448467,0.9282296650717703,0.6830985915492958,0.569377990430622,0.6439184084613447,,Logistic Regression,Review,Bag-of-Words,2-2,review
68,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.4952153110047847,,KNN,Review,Bag-of-Words,2-2,review
69,0.6417910447761194,0.5669014084507042,0.41148325358851673,0.7703349282296651,0.5014577259475218,0.6531440162271805,0.5669014084507042,0.7703349282296651,0.6531440162271805,0.5909090909090909,0.6098532542753142,,XGBoost,Review,Bag-of-Words,2-2,review
70,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.557713880176736,,Random Forest,Review,Bag-of-Words,3-3,review
71,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5560770128888991,,SVC,Review,Bag-of-Words,3-3,review
72,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5684622604793845,,Logistic Regression,Review,Bag-of-Words,3-3,review
73,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.5,,KNN,Review,Bag-of-Words,3-3,review
74,0.8,0.511166253101737,0.05741626794258373,0.9856459330143541,0.10714285714285715,0.673202614379085,0.511166253101737,0.9856459330143541,0.673202614379085,0.5215311004784688,0.5141365811222269,,XGBoost,Review,Bag-of-Words,3-3,review
75,0.6715686274509803,0.6635514018691588,0.6555023923444976,0.6794258373205742,0.6634382566585956,0.6713947990543735,0.6635514018691588,0.6794258373205742,0.6713947990543735,0.6674641148325359,0.7500629564341477,,Random Forest,ReviewTagged,TF-IDF,1-1,reviewTagged
76,0.6651162790697674,0.6748768472906403,0.6842105263157895,0.6555023923444976,0.6745283018867925,0.6650485436893203,0.6748768472906403,0.6555023923444976,0.6650485436893203,0.6698564593301436,0.7121402898285296,,SVC,ReviewTagged,TF-IDF,1-1,reviewTagged
77,0.6666666666666666,0.6336206896551724,0.5933014354066986,0.7033492822966507,0.6278481012658228,0.6666666666666666,0.6336206896551724,0.7033492822966507,0.6666666666666666,0.6483253588516746,0.6944895950184291,,Logistic Regression,ReviewTagged,TF-IDF,1-1,reviewTagged
78,0.6666666666666666,0.5012048192771085,0.009569377990430622,0.9952153110047847,0.018867924528301883,0.6666666666666666,0.5012048192771085,0.9952153110047847,0.6666666666666666,0.5023923444976076,0.6155765664705478,,KNN,ReviewTagged,TF-IDF,1-1,reviewTagged
79,0.6984924623115578,0.680365296803653,0.6650717703349283,0.7129186602870813,0.6813725490196079,0.6962616822429906,0.680365296803653,0.7129186602870813,0.6962616822429906,0.6889952153110048,0.7334996909411413,,XGBoost,ReviewTagged,TF-IDF,1-1,reviewTagged
80,0.717391304347826,0.6709401709401709,0.631578947368421,0.7511961722488039,0.6717557251908397,0.708803611738149,0.6709401709401709,0.7511961722488039,0.708803611738149,0.6913875598086124,0.7414322016437352,,Random Forest,ReviewTagged,TF-IDF,1-2,reviewTagged
81,0.7161290322580646,0.6273764258555133,0.5311004784688995,0.7894736842105263,0.6098901098901098,0.6991525423728814,0.6273764258555133,0.7894736842105263,0.6991525423728814,0.6602870813397129,0.7272727272727273,,SVC,ReviewTagged,TF-IDF,1-2,reviewTagged
82,0.6867469879518072,0.623015873015873,0.5454545454545454,0.7511961722488039,0.6079999999999999,0.6811279826464208,0.623015873015873,0.7511961722488039,0.6811279826464208,0.6483253588516746,0.7166502598383736,,Logistic Regression,ReviewTagged,TF-IDF,1-2,reviewTagged
